"Symbol","TF","Count","Oldest","Newest","Span","Status"
"BTCUSD","1m","2","2026-01-04 03:42:00","2026-01-04 03:43:00","0d 0h 1m","LOW (need 58 more to hit 60)"
"BTCUSD","5m","1","2026-01-04 03:40:00","2026-01-04 03:40:00","0d 0h 0m","LOW (need 59 more to hit 60)"
"BTCUSD","15m","0","","","",""
"BTCUSD","30m","0","","","",""
"BTCUSD","1h","0","","","",""
"BTCUSD","4h","0","","","",""
"BTCUSD","1d","0","","","",""
"BTCUSD_","1m","2","2026-01-04 03:42:00","2026-01-04 03:43:00","0d 0h 1m","LOW (need 58 more to hit 60)"
"BTCUSD_","5m","1","2026-01-04 03:40:00","2026-01-04 03:40:00","0d 0h 0m","LOW (need 59 more to hit 60)"
"BTCUSD_","15m","0","","","",""
"BTCUSD_","30m","0","","","",""
"BTCUSD_","1h","0","","","",""
"BTCUSD_","4h","0","","","",""
"BTCUSD_","1d","0","","","",""
"ETHUSD","1m","2","2026-01-04 03:42:00","2026-01-04 03:43:00","0d 0h 1m","LOW (need 58 more to hit 60)"
"ETHUSD","5m","1","2026-01-04 03:40:00","2026-01-04 03:40:00","0d 0h 0m","LOW (need 59 more to hit 60)"
"ETHUSD","15m","0","","","",""
"ETHUSD","30m","0","","","",""
"ETHUSD","1h","0","","","",""
"ETHUSD","4h","0","","","",""
"ETHUSD","1d","0","","","",""
"ETHUSD_","1m","2","2026-01-04 03:42:00","2026-01-04 03:43:00","0d 0h 1m","LOW (need 58 more to hit 60)"
"ETHUSD_","5m","1","2026-01-04 03:40:00","2026-01-04 03:40:00","0d 0h 0m","LOW (need 59 more to hit 60)"
"ETHUSD_","15m","0","","","",""
"ETHUSD_","30m","0","","","",""
"ETHUSD_","1h","0","","","",""
"ETHUSD_","4h","0","","","",""
"ETHUSD_","1d","0","","","",""
"XAUUSD","1m","1","2026-01-03 01:57:00","2026-01-03 01:57:00","0d 0h 0m","LOW (need 59 more to hit 60)"
"XAUUSD","5m","1","2026-01-03 01:55:00","2026-01-03 01:55:00","0d 0h 0m","LOW (need 59 more to hit 60)"
"XAUUSD","15m","0","","","",""
"XAUUSD","30m","0","","","",""
"XAUUSD","1h","0","","","",""
"XAUUSD","4h","0","","","",""
"XAUUSD","1d","0","","","",""
"XAUUSD_","1m","1","2026-01-03 01:57:00","2026-01-03 01:57:00","0d 0h 0m","LOW (need 59 more to hit 60)"
"XAUUSD_","5m","1","2026-01-03 01:55:00","2026-01-03 01:55:00","0d 0h 0m","LOW (need 59 more to hit 60)"
"XAUUSD_","15m","0","","","",""
"XAUUSD_","30m","0","","","",""
"XAUUSD_","1h","0","","","",""
"XAUUSD_","4h","0","","","",""
"XAUUSD_","1d","0","","","",""
"EURUSD","1m","1","2026-01-03 01:54:00","2026-01-03 01:54:00","0d 0h 0m","LOW (need 59 more to hit 60)"
"EURUSD","5m","1","2026-01-03 01:50:00","2026-01-03 01:50:00","0d 0h 0m","LOW (need 59 more to hit 60)"
"EURUSD","15m","0","","","",""
"EURUSD","30m","0","","","",""
"EURUSD","1h","0","","","",""
"EURUSD","4h","0","","","",""
"EURUSD","1d","0","","","",""
"EURUSD_","1m","1","2026-01-03 01:54:00","2026-01-03 01:54:00","0d 0h 0m","LOW (need 59 more to hit 60)"
"EURUSD_","5m","1","2026-01-03 01:50:00","2026-01-03 01:50:00","0d 0h 0m","LOW (need 59 more to hit 60)"
"EURUSD_","15m","0","","","",""
"EURUSD_","30m","0","","","",""
"EURUSD_","1h","0","","","",""
"EURUSD_","4h","0","","","",""
"EURUSD_","1d","0","","","",""
